18:11:20 system        | socketio.1 started (pid=37299)
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&filters={"is_group":0}&limit=1000&order_by=name&doctype=Customer%20Group&_=1756644287439 HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.utilities.get_current_user_language HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "GET /api/method/frappe.client.get?doctype=POS%20Settings&_=1756644287442 HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "GET /api/method/frappe.realtime.get_user_info?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "HEAD /app HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.utilities.get_pos_profile_tax_inclusive HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.utils.get_active_pos_profile HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "HEAD / HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.shifts.check_opening_shift HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.items.get_items_groups HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_restaurant_order_types HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_available_tables HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.invoices.get_price_list_currency HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.items.get_items_groups HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "GET /website_script.js HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.utilities.get_pos_profile_tax_inclusive HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.m_pesa.get_mpesa_mode_of_payment HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.offers.get_offers HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.customers.get_customers_count HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.items.get_items_count HTTP/1.1" 200 -
18:14:48 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:48] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:14:48 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:48] "POST /api/method/posawesome.posawesome.api.items.get_items_count HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "GET /app HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "GET /sw.js HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "POST /api/method/frappe.desk.doctype.notification_log.notification_log.get_notification_logs HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "GET /api/method/frappe.desk.doctype.event.event.get_events?start=2025-08-31&end=2025-08-31&_=1756644289776 HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "GET /api/method/frappe.realtime.get_user_info?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc HTTP/1.1" 200 -
18:14:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:49] "POST /api/method/frappe.desk.desktop.get_workspace_sidebar_items HTTP/1.1" 200 -
18:14:50 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:50] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:14:50 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:50] "POST /api/method/frappe.desk.desktop.get_desktop_page HTTP/1.1" 200 -
18:14:50 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:50] "HEAD /app HTTP/1.1" 200 -
18:14:50 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:50] "HEAD / HTTP/1.1" 200 -
18:14:51 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:51] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:14:51 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:51] "GET /sw.js HTTP/1.1" 200 -
18:14:51 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:51] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:14:52 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:52] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:14:52 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:52] "HEAD /app HTTP/1.1" 200 -
18:14:52 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:52] "HEAD / HTTP/1.1" 200 -
18:14:52 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:52] "GET /sw.js HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "POST /api/method/frappe.desk.desktop.get_desktop_page HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "GET /api/method/frappe.desk.reportview.get_list?filters={"name":"Administrator"}&fields=["*"]&doctype=Dashboard%20Settings&limit=20&_=1756644289777 HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "POST /api/method/frappe.desk.reportview.get_count HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "POST /api/method/frappe.desk.reportview.get_count HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "GET /api/method/frappe.desk.form.load.getdoc?doctype=Dashboard%20Chart&name=Sales%20Order%20Trends&_=1756644289778 HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "POST /api/method/frappe.desk.query_report.get_script HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "POST /api/method/frappe.desk.query_report.run HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "GET /api/method/frappe.client.get_value?doctype=Report&fieldname=ref_doctype&filters=Sales%20Order%20Trends&_=1756644289780 HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "GET /api/method/frappe.client.get?doctype=Dashboard%20Chart&name=Sales%20Order%20Trends&_=1756644289779 HTTP/1.1" 200 -
18:14:53 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:53] "GET /api/method/frappe.desk.form.load.getdoctype?doctype=Sales%20Order&with_parent=1&cached_timestamp=&_=1756644289781 HTTP/1.1" 200 -
18:14:54 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:54] "POST /api/method/frappe.desk.listview.get_list_settings HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "GET /api/method/frappe.desk.reportview.get_list?fields=["name","filter_name","for_user","filters"]&filters={"reference_doctype":"Sales%20Order"}&or_filters=[["for_user","%3D","Administrator"],["for_user","%3D",""]]&order_by=filter_name%20asc&doctype=List%20Filter&limit=20&_=1756644289782 HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "GET /assets/frappe/images/ui-states/list-empty-state.svg HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "GET /api/method/frappe.realtime.can_subscribe_doctype?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc&doctype=Sales%20Order HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "POST /api/method/frappe.desk.reportview.get HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "POST /api/method/frappe.model.utils.user_settings.save HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "POST /api/method/frappe.model.utils.user_settings.save HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "GET /assets/frappe/css/fonts/inter/Inter-Medium.woff2 HTTP/1.1" 200 -
18:14:55 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:55] "POST /api/method/frappe.desk.reportview.get_count HTTP/1.1" 200 -
18:14:56 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:56] "POST /api/method/frappe.desk.reportview.get HTTP/1.1" 200 -
18:14:56 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:56] "POST /api/method/frappe.model.utils.user_settings.save HTTP/1.1" 200 -
18:14:56 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:56] "POST /api/method/frappe.model.utils.user_settings.save HTTP/1.1" 200 -
18:14:56 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:56] "POST /api/method/frappe.desk.reportview.get_count HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "GET /app/sales-order HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/frappe.desk.doctype.notification_log.notification_log.get_notification_logs HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "GET /api/method/frappe.desk.doctype.event.event.get_events?start=2025-08-31&end=2025-08-31&_=1756644298565 HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "GET /api/method/frappe.desk.form.load.getdoctype?doctype=Sales%20Order&with_parent=1&cached_timestamp=2025-07-28%2012:14:29.760988&_=1756644298566 HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "GET /api/method/frappe.realtime.get_user_info?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/frappe.desk.listview.get_list_settings HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "GET /api/method/frappe.desk.reportview.get_list?fields=["name","filter_name","for_user","filters"]&filters={"reference_doctype":"Sales%20Order"}&or_filters=[["for_user","%3D","Administrator"],["for_user","%3D",""]]&order_by=filter_name%20asc&doctype=List%20Filter&limit=20&_=1756644298567 HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "GET /api/method/frappe.realtime.can_subscribe_doctype?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc&doctype=Sales%20Order HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/frappe.desk.reportview.get HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/frappe.model.utils.user_settings.save HTTP/1.1" 200 -
18:14:58 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:58] "POST /api/method/frappe.desk.reportview.get_count HTTP/1.1" 200 -
18:15:00 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:00] "GET /sw.js HTTP/1.1" 200 -
18:15:00 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:00] "POST /api/method/frappe.desk.desktop.get_workspace_sidebar_items HTTP/1.1" 200 -
18:15:01 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:01] "POST /api/method/frappe.desk.desktop.get_desktop_page HTTP/1.1" 200 -
18:15:02 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:02] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:15:02 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:02] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.desktop.get_desktop_page HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.reportview.get_list?filters={"name":"Administrator"}&fields=["*"]&doctype=Dashboard%20Settings&limit=20&_=1756644298568 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoc?doctype=Dashboard%20Chart&name=Profit%20and%20Loss&_=1756644298569 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoc?doctype=Number%20Card&name=Total%20Outgoing%20Payment&_=1756644298573 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoc?doctype=Number%20Card&name=Total%20Incoming%20Payment&_=1756644298572 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoc?doctype=Number%20Card&name=Total%20Outgoing%20Bills&_=1756644298570 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoc?doctype=Number%20Card&name=Total%20Incoming%20Bills&_=1756644298571 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_result HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.query_report.get_script HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_result HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_result HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/erpnext.accounts.doctype.accounting_dimension.accounting_dimension.get_dimensions HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_result HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoctype?doctype=Payment%20Entry&with_parent=1&cached_timestamp=&_=1756644298574 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoctype?doctype=Payment%20Entry&with_parent=1&cached_timestamp=&_=1756644298575 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_percentage_difference HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_percentage_difference HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoctype?doctype=Sales%20Invoice&with_parent=1&cached_timestamp=&_=1756644298576 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_percentage_difference HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoctype?doctype=Purchase%20Invoice&with_parent=1&cached_timestamp=&_=1756644298577 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.doctype.number_card.number_card.get_percentage_difference HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "POST /api/method/frappe.desk.query_report.run HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.client.get_value?doctype=Report&fieldname=ref_doctype&filters=Profit%20and%20Loss%20Statement&_=1756644298579 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.client.get?doctype=Dashboard%20Chart&name=Profit%20and%20Loss&_=1756644298578 HTTP/1.1" 200 -
18:15:04 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:04] "GET /api/method/frappe.desk.form.load.getdoctype?doctype=GL%20Entry&with_parent=1&cached_timestamp=&_=1756644298580 HTTP/1.1" 200 -
18:15:05 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:05] "POST /api/method/frappe.desk.doctype.route_history.route_history.deferred_insert HTTP/1.1" 200 -
18:15:06 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:06] "POST /api/method/frappe.desk.listview.get_list_settings HTTP/1.1" 200 -
18:15:06 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:06] "GET /api/method/frappe.desk.reportview.get_list?fields=["name","filter_name","for_user","filters"]&filters={"reference_doctype":"Sales%20Invoice"}&or_filters=[["for_user","%3D","Administrator"],["for_user","%3D",""]]&order_by=filter_name%20asc&doctype=List%20Filter&limit=20&_=1756644298581 HTTP/1.1" 200 -
18:15:06 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:06] "GET /api/method/frappe.realtime.can_subscribe_doctype?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc&doctype=Sales%20Invoice HTTP/1.1" 200 -
18:15:06 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:06] "POST /api/method/frappe.desk.reportview.get HTTP/1.1" 200 -
18:15:06 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:06] "POST /api/method/frappe.model.utils.user_settings.save HTTP/1.1" 200 -
18:15:06 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:06] "POST /api/method/frappe.model.utils.user_settings.save HTTP/1.1" 200 -
18:15:06 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:06] "POST /api/method/frappe.desk.reportview.get_count HTTP/1.1" 200 -
18:15:08 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:08] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:15:08 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:08] "HEAD /app HTTP/1.1" 200 -
18:15:08 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:08] "HEAD / HTTP/1.1" 200 -
18:15:12 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:12] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:15:12 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:12] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:15:13 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:13] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:15:14 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:14] "HEAD /app HTTP/1.1" 200 -
18:15:14 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:14] "HEAD / HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "GET /app/posapp HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/frappe.desk.doctype.notification_log.notification_log.get_notification_logs HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "GET /api/method/frappe.desk.doctype.event.event.get_events?start=2025-08-31&end=2025-08-31&_=1756644315357 HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&filters={"is_group":0}&limit=5000&order_by=name&doctype=Territory&_=1756644315359 HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&page_length=10&doctype=Gender&limit=20&_=1756644315360 HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&filters={"is_group":0}&limit=1000&order_by=name&doctype=Customer%20Group&_=1756644315358 HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.utilities.get_current_user_language HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "GET /api/method/frappe.client.get?doctype=POS%20Settings&_=1756644315361 HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "GET /api/method/frappe.realtime.get_user_info?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "HEAD /app HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.shifts.check_opening_shift HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.utilities.get_pos_profile_tax_inclusive HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.invoices.get_price_list_currency HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.items.get_items_groups HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_restaurant_order_types HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_available_tables HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.utilities.get_pos_profile_tax_inclusive HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.utils.get_active_pos_profile HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.m_pesa.get_mpesa_mode_of_payment HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.offers.get_offers HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.items.get_items_groups HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "HEAD / HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.customers.get_customers_count HTTP/1.1" 200 -
